items,location,session,images,clicks,impressions,conversions,advertiser,category
CLARKES,Jayankondam,8,http://lh3.googleusercontent.com/jTdaeCPtmGUY7dwsToIrw8w1Lt81nKX-eeupFja3AQTFjjOFiAXDQguezrPWiBFY8Yzp4pdxwAk4Vmxx0oxbd0obrUox,593,20045,38,687,shoes
greetings,Ariyalur,6,http://lh3.googleusercontent.com/xEK27BLVakommffKmfNE9iQ8BpsP14vByv2_PWs1m4-_SIYapz1XafZvr5jR7VkW3pnhrJE3Ju_d4K-i3cO0YxMSMHfYzg,517,4665,39,96,gifts
ARIAT,Chennai,17,http://lh3.googleusercontent.com/lKWSruR4u4MAtRGQMIqa-W6v1OLhy9XJvgpnvLo5i9eBw80C3Syb_AnvUlsmqARQE3KKqaI_da-X9-q7QDY_4ys6FoXEUN4,36,8712,97,76,shoes
COFFEE MUGS,Coimbatore,6,http://lh3.googleusercontent.com/QznKWlzaiFSyxUjErmp0fF7auq6QYEfixXgf_YI8CFWrzqizMtd3SJptYMMJ-FeuPpcD_D4i4khZYvSGCBKBnQai0I_pxA,264,77813,60,247,kitchenneeds
MAXIMA,Valparai,11,http://lh3.googleusercontent.com/HVt0i4rRT2ju4Qqg7VAsM_c9jqbqZ7SLCaI4L9t03gO8DHBwXNDCbwX8ahHRns6dVlcMYy2LOIejX221HuYKumkH7FEo,175,69884,91,595,watches
COFFEE MUGS,Pollachi,6,http://lh3.googleusercontent.com/JEgdTX1YoAFr5v4cX-o5l9un1JwI1TyCpaVW-mEoyBFQ97aadKnESGyJCC5SWmnw9FW5FZlBZt8JkV2Nx-sxbsWTFDCuRg,541,74880,42,464,kitchenneeds
CELLO,Kurichi,8,http://lh3.googleusercontent.com/xxFiO-290qJ54FKomnK5FZH0SbWRZ_TqxcpxCy4DgDZQ029MVqhkK_CR_CLle8hlCqT7JjVTgR5ML9cGyIT2JCyMpJRpmg,858,95474,18,647,stationery
golden xiaomi,Kuniyamuthur,5,http://lh3.googleusercontent.com/Mc8BLSVVVuEiKgRA3lrz3-BQMNL7dhyuujsIwNMtpF6Do9hpV91dvjIBQvHC8E1aSYE0KNhLrpphYzLK3EoAIPrrwmdjIA,468,97758,70,876,powerbanks
CAMLIN,Mettupalayam,18,http://lh3.googleusercontent.com/UTVbQTQ22coPtXjxYr03OQo4SepO5MMulinYTdYm0lCNk3_Eb70OL4IdYWRwIteiZKnFHLAzNujg7MAXOaPip8Zrr8cafpY,788,76853,34,356,stationery
SKODA,Goundampalayam,1,http://lh3.googleusercontent.com/sDTtZFicFH3C0ejE50TjRxcebpoWmwyDkyUZ4sByB2HYAG-nLKZAaRukBNfUW1OrJyQwLxgZYIICTHfaJD525YsIxkL2bQ,848,76505,25,862,automotive
